"Sculpin IPA","Ballast Point Brewing & Spirits","IPA - American",7,70,,,,,,,,4,"2015-03-12 22:15:00",https://untappd.com/c/162190917,https://untappd.com/beer/5558,https://untappd.com/brewery/68,"United States","San Diego",CA
"Sculpin IPA","Ballast Point Brewing & Spirits","IPA - American",7,70,,,,,,,,4,"2015-03-12 22:16:19",https://untappd.com/c/162191288,https://untappd.com/beer/5558,https://untappd.com/brewery/68,"United States","San Diego",CA
"Rocket I.P.A","Adelsö Bryggeri","IPA - American",6,120,,,,,,,,4.5,"2015-03-12 22:17:16",https://untappd.com/c/162191555,https://untappd.com/beer/409926,https://untappd.com/brewery/72354,Sweden,Adelsö,
R.E.S.P.E.C.T.,"Adelsö Bryggeri","Stout - Other",6.4,43,,,,,,,,3.5,"2015-03-12 22:17:53",https://untappd.com/c/162191751,https://untappd.com/beer/520182,https://untappd.com/brewery/72354,Sweden,Adelsö,
"Boom Boom Blonde","Adelsö Bryggeri","Blonde Ale",5,100,,,,,,,,3.5,"2015-03-12 22:19:14",https://untappd.com/c/162192096,https://untappd.com/beer/409922,https://untappd.com/brewery/72354,Sweden,Adelsö,
"Red House Ale","Adelsö Bryggeri","IPA - English",7,0,,,,,,,,3,"2015-03-12 22:19:35",https://untappd.com/c/162192194,https://untappd.com/beer/461909,https://untappd.com/brewery/72354,Sweden,Adelsö,
Nebuchadnezzar,Omnipollo,"IPA - Imperial / Double",8.5,100,,,,,,,,5,"2015-03-12 22:20:00",https://untappd.com/c/162192322,https://untappd.com/beer/233045,https://untappd.com/brewery/29486,Sweden,Stockholm,
Amarillo,"Oppigårds Bryggeri","Pale Ale - American",5.9,44,,,,,,,,3.5,"2015-03-12 22:20:52",https://untappd.com/c/162192577,https://untappd.com/beer/17528,https://untappd.com/brewery/4920,Sweden,Hedemora,
"Thurbo Double IPA","Oppigårds Bryggeri","IPA - Imperial / Double",8.5,74,,,,,,,,3.5,"2015-03-12 22:21:18",https://untappd.com/c/162192720,https://untappd.com/beer/263300,https://untappd.com/brewery/4920,Sweden,Hedemora,
"Thurbo Stout","Oppigårds Bryggeri","Stout - Imperial / Double",8.7,60,,,,,,,,3,"2015-03-12 22:21:56",https://untappd.com/c/162192880,https://untappd.com/beer/234539,https://untappd.com/brewery/4920,Sweden,Hedemora,
